business_name,review_count,categories,rating,address,price_range,url,lat,lon
Farmhouse Kitchen Thai Cuisine,1875,Thai,4,710 Florida St Mission,$$,https://www.yelp.com/biz/farmhouse-kitchen-thai-cuisine-san-francisco?osq=Restaurants,37.7601687,-122.4111136
Loló,2018,Tapas/Small Plates,4,974 Valencia St Mission,$$,https://www.yelp.com/biz/lol%C3%B3-san-francisco-4?osq=Restaurants,37.7573266,-122.4214187
El Farolito,4683,Mexican,4,2779 Mission St Mission,$,https://www.yelp.com/biz/el-farolito-san-francisco-2?osq=Restaurants,37.7526525,-122.4182227
Myriad Gastropub,561,Gastropubs,4.5,2491 Mission St Mission,$$,https://www.yelp.com/biz/myriad-gastropub-san-francisco?osq=Restaurants,37.7572679,-122.418732
Limón Rotisserie,3077,Peruvian,4,1001 S Van Ness Ave Mission,$$,https://www.yelp.com/biz/lim%C3%B3n-rotisserie-san-francisco-3?osq=Restaurants,37.7570514,-122.4164197
Lolinda,1851,Steakhouses,4,2518 Mission St Mission,$$$,https://www.yelp.com/biz/lolinda-san-francisco?osq=Restaurants,37.7566872,-122.4190795
Tuba Authentic Turkish Restaurant,969,Mediterranean,4.5,1007 Guerrero St Mission,$$,https://www.yelp.com/biz/tuba-authentic-turkish-restaurant-san-francisco?osq=Restaurants,37.754891,-122.4229015
Beretta,3446,Italian,4,1199 Valencia St Mission,$$,https://www.yelp.com/biz/beretta-san-francisco?osq=Restaurants,37.7538422,-122.4206999
The Front Porch,2678,Southern,4,65 29th St Bernal Heights,$$,https://www.yelp.com/biz/the-front-porch-san-francisco?osq=Restaurants,37.7438058,-122.4220167
La Taqueria,3823,Mexican,4,2889 Mission St Mission,$,https://www.yelp.com/biz/la-taqueria-san-francisco-2?osq=Restaurants,37.7508992,-122.4181121
Californios,264,Mexican,4.5,3115 22nd St Mission,$$$$,https://www.yelp.com/biz/californios-san-francisco?osq=Restaurants,37.7553959,-122.4171097